15836	9234	39
734	9628	14
3527	3830	26
428	9490	19
1000	7248	32
2697	8246	42
130	7790	13
334	6183	47
248	8628	29
142	126	88
3605	4445	12
1683	5030	78
240	32	7
133	706	2
613	3924	16
47869	8110	25
27552	972	23
10781	1608	1
122	7094	14
158	4068	53
48496	4129	3
16551	2864	15
4920	1631	7
22838	154	15
435	4108	16
49174	7458	12
1436	3915	0
2922	6084	29
2072	8359	6
970	7891	11
793	8975	32
107	4559	15
172	6632	18
363	5245	49
212	1486	0
243	2102	24
28078	4972	10
6288	3658	2
720	8711	2
2856	7889	4
154	5107	18
160	6632	37
200	2055	16
101	2091	11
2905	5220	3
888	2417	53
11624	6432	24
1483	8681	28
2041	779	67
144	3672	38
1198	6107	56
2277	5027	54
222	6082	12
166	1248	8
1324	8950	32
17033	4563	18
441	3604	109
19120	1403	10
32376	7476	3
13532	8569	5
736	2765	39
219	1800	1
2362	5684	19
450	9330	54
4072	9479	19
392	8543	7
511	4895	4
8263	8432	21
26517	5452	27
18415	7063	0
152	6144	57
104	6147	22
141	4394	36
9115	6157	4
2919	611	20
267	8052	37
463	7019	39
634	3546	49
784	8563	8
553	1532	4
33446	919	6
34908	7873	23
613	4169	36
1845	9285	35
104	6722	0
299	8145	12
11778	880	5
105	3173	24
57	7546	0
1237	6786	2
109	7042	90
876	3798	46
140	8692	10
129	4751	13
1823	6139	0
185	1726	60
2553	4897	8
15812	6052	44
4672	5834	3
1489	3335	9
44372	1773	4
171	76	11
28395	3729	30
6296	9461	14
3583	8477	5
162	918	18
352	6686	44
2241	3408	59
719	8172	26
103	3989	42
108	842	36
376	9372	5
4249	2513	25
127	6909	35
102	8296	9
371	6483	6
1169	6333	13
1657	5214	11
109	4770	42
8197	7103	12
112	5305	10
396	6729	12
762	6699	25
179	5785	5
101	3938	11
104	87	34
5090	5406	63
11529	8476	14
389	2175	15
33834	5324	0
101	4893	64
111	4792	8
5217	6215	0
2374	4144	17
104	8325	10
7671	4465	36
264	240	18
25930	5587	34
626	7965	11
102	5070	4
125	2577	14
1542	2046	36
132	1832	4
105	10000	35
103	537	39
109	6680	8
174	9946	11
987	5734	24
1097	7576	4
196	58	7
2038	4480	17
50142	7448	26
1901	756	9
102	1559	41
102	2808	46
2773	4338	27
6499	4652	46
136	3413	17
422	906	20
4246	794	19
221	9707	28
135	3462	85
175	2691	34
20126	4913	4
23988	1685	16
492	7053	1
14874	3162	17
16303	9791	0
199	4964	9
102	1290	24
1083	5179	28
189	2188	25
4543	1888	22
114	1173	52
133	2630	25
132	2431	77
580	4054	79
63	4219	43
2428	7023	25
1615	5222	9
179	7486	22
1603	6463	18
537	7131	30
118	6549	50
102	9326	27
14497	3197	16
892	7719	25
153	6320	10
44889	4162	4
3101	4597	0
7506	8728	23
47842	5337	28
24973	9946	13
5453	8727	6
52003	5700	1
165	6873	19
122	3934	10
1497	8778	12
982	9635	28
1661	9590	19
1030	3328	2
30671	1668	32
2946	2931	16
32630	1333	19
57	1530	1
51261	1699	14
102	2131	52
23278	8215	14
137	4857	2
5955	9035	53
106	3526	2
1969	6096	10
118	8375	69
274	2169	21
241	3585	8
270	4717	20
137	1026	51
104	5176	36
182	3205	24
23535	3063	1
1132	5139	55
38117	526	79
12206	6405	1
13612	2633	8
133	3023	31
163	8854	23
361	8659	54
5416	4174	43
1159	6340	17
657	9373	19
23393	1778	3
116	7431	8
131	8755	62
877	9976	21
106	1477	27
183	365	19
116	1962	5
1446	4963	33
1324	4354	14
164	6266	21
3545	9339	50
19568	6820	27
359	6258	30
180	7781	33
105	389	15
3204	4343	3
233	4402	3
1210	2490	16
162	3882	34
4315	3848	7
113	8935	65
5785	1231	2
103	8871	21
39524	4404	32
54503	6193	10
169	7820	1
608	10000	29
3312	2814	17
69	137	4
174	7280	15
262	3259	3
1714	8078	43
3501	3835	49
137	6331	13
798	1187	14
5720	7323	30
114	723	36
107	458	1
1188	9787	27
1412	3014	4
12718	4389	24
1595	2024	17
448	5512	0
1741	9227	7
1561	8074	3
107	8260	14
351	9925	9
39650	3958	95
1082	3981	36
158	6109	15
51938	7963	23
27291	8809	24
189	3786	9
10602	6803	0
627	9393	23
1002	7721	20
436	7751	30
207	1015	23
3995	6705	8
58	9675	45
415	4529	11
1823	8505	1
1576	759	13
235	8523	23
1328	4612	9
102	8550	13
2351	2337	12
63	9415	17
3312	59	28
2370	2103	37
656	696	12
274	9140	1
41825	9062	18
125	3728	30
164	1147	4
437	9606	12
148	1707	17
1759	5017	60
103	5873	35
114	6564	24
101	764	70
5110	295	13
107	2014	50
47390	2964	17
5855	3370	61
7878	7379	35
101	9099	17
327	4583	9
727	6931	69
54252	8515	2
5042	3964	19
270	8650	13
140	9176	18
105	3657	0
110	3190	5
1911	5977	16
101	3818	25
101	5191	20
19409	4748	26
117	5672	10
284	8275	17
37565	7874	40
42152	7364	6
430	3261	5
196	1786	1
898	8742	57
106	296	17
101	5823	57
25975	113	31
101	4141	28
1407	2910	19
172	6979	8
6900	470	10
261	8241	16
102	3549	52
101	8239	27
5819	9738	1
1824	9093	82
12380	2751	13
5154	7628	50
51815	9992	55
1011	3600	18
108	4881	8
4124	7982	23
812	659	24
23855	4453	26
110	8029	22
40593	6784	23
101	7617	10
1050	1780	4
1229	3503	22
766	1339	15
305	4063	12
167	1962	19
31909	180	32
41011	658	16
346	7798	34
101	2087	10
38958	727	15
256	1610	26
103	7274	12
375	563	13
1098	4347	12
105	5068	2
1741	7853	2
305	148	1
249	3076	41
13724	1167	28
1903	2758	7
46495	1828	15
2494	9932	22
1123	3511	16
8390	7223	9
7408	2852	45
253	3279	10
106	9992	7
1035	4810	17
20375	4270	1
127	3415	32
1128	5030	24
164	113	23
30535	6730	5
942	258	26
129	2506	9
507	5034	9
3432	630	64
48681	8248	45
297	4332	7
597	2855	11
45981	691	36
7657	7757	12
3343	7277	12
612	4129	35
117	3748	10
1315	4386	63
233	444	14
104	6734	1
102	591	25
3702	2031	2
144	1640	19
3899	3664	2
12462	5179	37
173	2862	1
21271	2146	9
335	733	8
1088	1605	23
160	2482	29
39980	960	28
3978	1807	21
316	7675	5
37197	5411	30
1926	9039	5
666	505	12
16791	6416	19
104	5345	4
1049	9277	5
171	1934	8
1997	2554	50
605	4774	9
121	3574	2
8515	3390	16
104	6635	31
924	4341	1
1053	4936	12
4550	9754	29
128	6974	34
224	2374	6
123	2504	50
105	355	2
1800	6366	13
629	5723	5
1397	6332	47
5390	1326	3
669	9628	38
151	6101	6
173	6982	1
3353	2975	1
24412	6099	7
10298	932	6
58	2741	17
299	9009	25
38075	5012	12
1499	3096	3
2161	3341	42
102	4647	25
4717	6425	7
145	1449	11
127	3659	5
103	398	1
3250	8005	9
21007	8034	36
22625	1336	20
102	5392	67
428	7052	61
3928	7057	40
262	4643	48
197	7829	5
47179	3233	18
1561	7041	4
812	2483	9
2601	7103	19
737	5909	21
13619	7475	29
1832	7791	23
286	50	24
1547	5716	6
35533	2504	13
2116	9845	3
2992	9225	16
101	7324	57
37368	1020	9
16235	2412	7
848	3588	20
1119	9723	1
1960	8902	31
315	1466	0
3377	8556	27
112	7927	4
158	9954	32
13070	2766	18
29032	3402	15
104	5670	4
9709	2453	39
63	7620	10
141	3195	19
226	5204	9
5971	9657	33
102	9435	33
2651	3597	11
103	2755	30
117	2723	12
291	6050	8
163	631	19
522	2535	27
1012	8866	35
859	7097	34
4896	921	69
199	7816	31
698	788	19
113	9982	6
217	7399	1
108	5993	64
1324	1583	15
427	7017	34
102	2590	35
105	234	4
1725	9730	25
120	1403	17
6953	2399	27
614	230	5
3115	590	47
1372	17	9
413	6792	42
1159	9954	16
152	1467	2
101	3395	6
521	1692	40
569	5561	29
5090	7490	16
249	6380	45
30791	3473	23
293	4315	72
148	2056	21
2843	9779	23
125	9396	23
102	9002	14
3847	3080	5
539	693	13
242	4410	22
151	5951	10
285	4890	25
6406	8701	4
2430	3282	19
589	9491	4
168	903	9
182	1162	0
2306	4438	13
135	1158	93
57	4020	15
290	8060	44
109	2577	7
1388	6457	21
2744	1691	5
262	6143	19
1807	719	39
125	7638	3
7388	2785	10
361	9653	63
265	1980	27
103	5250	13
3381	7951	14
5016	821	7
760	3463	1
40797	9788	15
9783	220	82
70	7306	19
1284	6157	9
1302	4234	34
1829	7143	69
142	4906	5
28471	8107	40
936	7482	10
101	9144	61
13793	6417	0
575	3966	38
52177	3143	20
141	284	6
327	2937	40
1224	1599	3
417	6967	62
105	556	16
186	5540	5
5534	9062	19
140	5278	0
415	6456	5
9175	6124	48
4484	3183	13
13711	8422	9
34301	6261	3
4787	2898	19
1459	7190	31
146	1930	0
108	9709	48
757	7200	1
40677	6622	53
228	5049	31
3269	9679	2
