105	1759	5	21.43
6716	125	3	31.64
6258	102	4	23.19
380	184	4	18.15
611	1981	6	73.81
3307	2456	3	47.23
145	924	4	22.5
116	438	3	6.77
64	265	4	7.4
184	346	4	17.14
565	8905	3	49.26
64	215	4	5.33
64	6315	4	41.02
191	238	5	19.35
406	4448	6	88.54
111	143	35	112.05
715	105	3	4.14
478	778	4	34.45
2499	4754	3	50.56
1401	108	4	15.65
1023	64	30	280.56
1503	733	7	86.05
203	823	3	17.46
125	178	4	5.35
117	508	3	8.06
101	744	9	7.81
213	420	3	13.89
116	1251	8	51.59
517	326	3	18.91
273	10068	3	44.15
221	1338	8	75.07
126	3023	3	22.79
4252	733	8	136.31
196	129	5	10.35
771	7676	4	68.28
160	110	7	5.32
5991	160	3	32.56
624	1526	4	42.94
442	108	5	9.8
9320	101	3	18.46
155	1662	5	39.21
504	121	4	14.42
1560	121	9	71.11
1421	102	8	21.22
3995	4380	4	76.53
102	1858	6	16.82
475	1061	5	48.81
152	2190	3	22.25
104	323	20	64.31
238	119	4	6.75
2645	172	4	35.85
115	403	8	30.35
652	851	3	26.26
70	9510	3	34.32
101	2339	6	15.89
887	3056	4	54.22
431	132	3	9.54
115	505	6	22.46
177	111	7	7.58
63	1200	4	20.08
136	316	8	35.88
1746	109	6	32.98
5819	125	3	29.42
678	102	12	21.97
391	123	3	7.88
192	198	3	6.92
112	179	5	4.12
101	923	9	10.71
7569	101	3	14.06
101	863	7	5.01
289	525	3	18.01
213	101	27	9.78
213	303	4	17.54
1283	2797	3	40.2
102	3247	4	14.13
101	999	6	4.39
117	254	53	361.13
5371	103	3	14.57
7060	1168	3	49.6
4801	101	3	9.28
3396	935	5	72.36
132	9747	3	37.11
208	685	7	50.49
101	1766	5	7.64
890	124	4	19.34
184	101	89	161.46
174	530	6	35.53
256	64	3	3.98
1656	2097	4	55.79
69	1836	3	16.37
210	760	3	17.37
4766	101	3	9.28
5562	69	3	27.6
858	517	8	83.77
664	137	3	12.53
479	209	3	14.48
700	104	3	3.94
178	276	3	9.39
101	5580	3	11.92
611	7912	3	49.68
1999	159	3	21.96
275	2762	8	98.89
628	209	3	16.01
3913	271	7	93.35
103	364	23	52.6
3426	1422	9	157.82
114	2022	3	16.47
169	421	4	18.15
2980	102	3	7.66
156	4064	3	28.45
175	184	3	5.96
103	4326	3	12.39
127	10228	3	36.45
126	3540	6	59.07
246	132	16	81.85
200	474	4	20.9
1176	6606	4	72.24
4574	102	3	11.78
389	106	4	4.87
101	1122	9	14.48
1615	111	5	26.92
1543	125	25	274.85
4061	113	4	33.16
106	384	4	4.82
408	1703	3	28.54
101	1257	8	13.34
104	7860	3	27.54
114	1376	3	13.5
145	234	3	6.46
5410	2510	3	51.81
510	107	3	4.13
1554	107	5	23.08
1479	110	5	25.06
839	3029	3	38.25
634	101	12	12.41
2870	101	4	9.42
1165	147	3	17.38
109	769	4	10.82
774	2586	15	259.33
267	1363	29	399.84
127	1398	8	60.82
534	6901	4	65.29
4436	105	3	18.14
1990	103	9	40.12
475	107	3	3.86
128	9879	3	36.76
605	171	4	21.15
1714	101	4	4.37
1301	103	9	29
1608	171	3	20.89
7575	536	3	44.5
7517	2682	4	81.06
1955	103	7	26.25
229	655	5	34.32
3345	261	11	160.95
622	454	21	244.88
1374	219	7	63.82
212	471	3	14.64
5961	6544	4	93.45
322	368	4	24.13
104	2179	5	24.29
243	3232	3	29.86
506	1180	4	38.67
9545	1661	3	56.73
117	660	7	33.47
9507	137	3	37.61
2583	380	5	58.76
58	339	5	9.18
