405	516	6	12.5
5580	135	3	11.78
796	833	3	7.6
814	197	16	55.74
428	3051	3	16.88
930	130	14	25.75
357	777	5	10.81
217	1516	4	7.75
271	3300	8	51.94
1071	1615	3	14.36
4045	507	3	21.13
850	166	7	10.49
509	146	12	7.67
70	8430	3	15.14
404	1191	7	27.3
214	195	41	86.52
6716	125	4	21.82
886	119	18	34.18
64	5125	3	8.71
7242	186	3	15.75
8995	332	3	25.3
1498	132	6	7.01
1074	170	32	168.78
224	142	28	11.25
814	137	11	16.6
296	128	23	9.63
214	6341	4	24.12
2687	104	12	23.27
670	113	20	16.48
314	518	6	8.89
188	106	101	22.1
2057	170	5	10.92
1247	1604	3	17.19
128	4510	3	7.39
58	3513	7	18.05
1942	179	5	11.69
1657	1602	3	19.68
7912	2669	3	39.66
1295	873	4	16.99
1071	1539	3	13.48
4035	170	3	9.13
122	512	19	17.77
1695	1221	3	15.09
7242	114	3	10.57
657	782	3	6.83
5811	116	3	7.46
479	576	4	8.59
394	1480	4	12.83
1202	426	10	51.78
9312	198	3	20.46
670	309	6	10.03
379	1043	36	269.2
3662	670	4	27.28
110	4190	4	9.15
327	1401	4	11.83
3682	471	3	15.95
983	3229	7	62.07
165	2038	4	6.99
131	5319	3	8.55
427	3912	3	15.65
778	284	5	8.03
7342	271	3	19.72
917	65	3	13.14
121	1314	8	8.47
106	2565	8	8.59
399	286	12	22.25
916	667	3	7.34
886	295	12	46.27
214	267	59	211.93
6258	244	4	25.57
1658	1808	3	18.93
2423	828	3	16.3
160	5730	4	21.09
510	925	3	7.36
159	6703	4	25.55
103	116	411	27.18
711	498	15	72.28
2034	1118	5	32.16
320	1997	6	25.56
185	2441	3	6.76
500	578	5	9.98
225	853	6	10.82
170	1615	19	93.26
611	1981	5	29.69
380	184	13	12.87
773	2425	3	15.45
571	828	3	6.74
1897	159	5	13.69
216	1846	4	9.72
201	4800	3	12.38
118	889	12	8.28
1174	4122	3	23.29
1775	487	3	11.18
3598	104	7	10.71
211	1893	3	7.28
1101	884	5	22.45
365	1856	4	14.09
565	113	20	10.86
254	1772	4	11.81
3634	137	3	6.7
104	1521	12	7.73
2970	69	5	10.12
1095	759	3	10.61
843	794	9	47.91
2585	151	7	23.55
135	3087	8	34.02
1373	1408	3	16.01
164	1326	10	28.96
112	1308	11	9.92
4993	286	3	15.91
222	5256	3	14.02
228	8148	3	22.65
2045	300	3	7.73
218	4642	5	28.47
129	2806	4	7.25
941	336	4	7
198	1435	6	11.81
8437	69	3	15.15
358	424	5	7.83
1703	262	4	11.72
519	9774	3	28.93
10110	193	3	20.28
1292	2815	3	21.51
685	2794	3	16.36
2339	2190	4	35.87
320	2041	6	26.26
678	1266	3	11.78
114	1631	7	9.29
231	702	13	36.4
2427	4278	3	28.65
941	276	5	9.32
663	683	7	24.9
103	288	91	29.96
179	692	19	51.25
169	302	18	14.74
1602	223	5	16.91
1362	439	3	7.28
69	3153	5	10.12
1132	709	3	10.28
692	6082	3	23.37
593	274	6	7.2
1897	239	8	40.57
1813	286	3	6.79
5381	1295	4	37.85
15	1032	3	8.26
120	2050	7	11.65
905	225	7	16.55
560	655	7	22
1008	259	5	8.64
1908	249	5	16.81
483	250	8	10.76
1106	386	5	15.76
3027	379	4	19.73
1074	2905	3	19.39
3623	275	4	18.39
2222	322	3	10.03
233	1419	4	7.69
1044	224	6	10.26
469	1357	3	9.02
840	333	5	9.17
1009	1449	7	44.41
214	3004	3	8.78
10264	7242	3	50.17
454	648	5	11.08
2087	224	11	55.04
2665	310	3	9.93
2150	1028	5	32.37
7238	367	3	22.14
193	3237	3	7.94
877	1626	3	13.25
271	2079	3	7.88
328	356	7	9.47
64	265	25	10.74
772	1008	3	8.6
9378	117	3	14.31
1615	1071	3	14.36
115	3886	6	22.03
566	299	6	11.47
154	219	28	15.33
128	609	15	13.41
1264	659	3	10.2
1474	461	3	9.08
292	381	7	7.33
565	8905	3	28.43
350	2059	4	17.14
495	1071	3	6.72
4121	134	3	9.14
920	107	17	7.31
4662	57	4	8.06
225	8536	3	22.72
1361	2482	3	19.59
226	189	15	6.72
1722	208	5	13.8
2132	582	4	19.4
16	1519	3	12.72
125	1495	7	10.47
548	494	5	10.32
2446	150	4	8.01
213	1114	5	9.02
353	895	5	10.65
566	105	33	10.21
4442	70	5	20.01
340	830	6	15.83
884	888	4	13.77
184	554	9	8.07
106	785	19	9.42
1274	101	30	9.57
3131	3092	4	45.09
4936	134	3	9.14
5642	178	3	13.11
2570	203	3	7.91
756	120	12	7.93
147	5706	3	12.95
6396	105	3	7.98
792	915	3	7.99
164	9825	3	19.4
1100	158	6	7.06
3037	169	3	7.5
64	6315	5	27.75
511	185	12	14.17
110	854	18	18.34
116	481	18	10.25
1358	231	4	8.82
133	5035	3	9.54
1336	604	3	8.96
1779	240	3	6.75
354	296	10	15.27
605	3621	4	26.96
997	701	3	8.78
1300	639	3	9.17
2279	2510	4	35.87
126	5860	3	10.05
3566	9734	3	42.45
111	319	37	11.94
2940	236	3	11.58
231	2632	3	8.98
133	4983	3	9.54
119	7117	3	11.53
833	416	26	175.24
4281	305	3	14.05
3903	412	3	18.35
1401	234	4	8.5
118	4227	4	8.67
303	301	24	75.82
103	2979	9	7.01
1129	1633	3	14.7
755	1107	3	10.71
760	1272	3	10.8
2181	410	3	11.79
531	227	8	10.43
587	245	7	9.77
361	8124	3	25.51
1082	1545	3	13.62
303	107	45	16.34
735	122	10	7.04
1265	492	3	9.02
2824	105	10	12.31
6800	70	4	20.19
935	4702	3	23.24
3703	504	3	18.03
163	129	54	26.12
5788	64	3	10.17
406	4448	6	47.56
111	143	118	27.87
70	783	55	238.35
319	883	9	31.08
120	5353	3	7.65
212	1992	4	10.23
112	6110	3	6.74
2523	162	4	9.76
2411	190	6	22.94
159	2684	6	20.99
660	118	16	10.05
715	105	30	9.87
2499	4754	3	31.62
478	778	4	9.69
6800	189	4	28.38
1669	196	4	6.86
113	9655	3	13.56
1946	3399	3	27.01
70	843	21	48.17
567	906	3	6.89
2680	203	7	32.37
883	70	26	70.71
104	3712	7	12.91
205	3134	4	13.8
3048	101	11	8.34
1023	64	33	139.13
288	7964	3	24.5
1550	488	8	40.4
1503	733	6	33.79
3640	108	5	6.66
390	147	13	10.52
1580	115	9	10.2
911	154	12	22.33
2021	129	7	14.54
4561	64	5	19.63
815	556	3	7.81
1045	911	3	11.24
3403	164	6	25.69
949	107	20	13.83
105	2336	10	10.58
295	565	14	42.47
664	6192	3	23.29
1451	122	9	13.7
483	1594	3	9.52
311	2354	3	9.53
670	3662	4	27.28
871	774	3	8.18
1302	5124	3	25.72
1195	540	3	7.93
1269	192	5	7.55
603	1139	3	8.41
1065	110	12	9.7
680	1750	3	11.61
4881	935	3	24.47
1241	101	31	7.86
153	149	43	35.87
543	586	4	7.9
557	980	3	6.77
642	156	16	27.85
2800	488	4	21.05
1312	70	11	16.62
245	863	6	9.25
193	2412	6	21.03
6340	5334	3	43.44
1299	1188	4	21.79
240	1944	3	6.75
4191	118	4	8.67
317	101	125	16.21
691	733	3	7.28
101	744	49	15.41
4339	122	3	11.79
2049	158	4	6.82
181	57	62	8.33
1340	154	7	14.54
674	1172	5	23.42
110	1823	9	12.2
3122	183	4	13.07
840	1607	3	12.38
884	1805	4	20.5
317	303	10	15.85
573	268	6	9.73
108	3159	6	7.75
921	6442	3	27.24
632	2984	3	15.99
2974	224	10	59.25
2397	247	3	8.34
1107	2905	3	19.54
743	436	5	10.95
1009	224	15	56.61
5069	1044	4	38.41
417	4279	4	27.92
194	3202	3	9.39
2941	1732	4	37.38
1405	648	3	9.81
213	420	11	16.56
116	1251	11	10.52
353	1716	3	7.87
1340	322	6	23.78
158	5272	3	11.05
2049	238	3	7.42
1638	3211	3	22.15
2087	1449	7	57.13
167	682	9	10.85
1548	620	3	10.72
16	305	8	19.33
517	326	10	23.93
433	416	10	29.54
108	3219	8	16.26
626	1044	4	12.48
600	397	5	8.57
1849	1008	3	15.22
492	6754	3	23.95
2984	6505	3	40.62
1263	616	3	9.96
273	10068	3	23.46
3895	245	3	11.52
8070	3211	3	41.17
469	447	5	8.6
4309	367	4	24.52
805	281	5	9.04
482	285	9	16.68
1158	236	4	6.97
636	372	8	19.43
268	2124	3	9.45
101	609	66	7.05
221	1338	7	24.75
337	1028	5	11.19
1224	1302	8	53.97
251	399	13	22.34
1247	5062	3	26.86
126	3023	4	7.8
336	107	50	21.32
4252	733	8	83.85
280	117	31	10.06
528	208	11	18.22
1265	1176	6	36.82
567	1783	3	10.6
111	1585	12	13.16
501	6225	5	47.73
142	783	16	27.72
710	136	25	62.09
2296	129	8	21.96
2218	478	4	19.04
542	793	16	90.81
244	152	92	297.55
1998	206	4	9.19
270	511	7	8.31
13	921	4	12.92
149	1939	4	6.68
432	821	6	17.75
57	124	109	6.9
5991	160	3	15.08
621	572	4	8.88
113	8424	3	13.56
1268	935	3	12.91
336	169	15	11.63
253	3439	4	20.89
2907	57	6	10.19
387	120	22	14.65
970	101	40	8.56
624	1526	6	29.84
142	843	9	11.43
104	5119	6	18.4
442	108	34	13.99
2963	64	4	7.3
646	5814	4	34.59
1394	133	6	6.76
556	103	49	24.25
69	814	19	31.98
490	1190	3	8.5
218	1897	5	18.16
682	167	9	10.85
13	861	7	32.19
313	1148	8	29.28
3236	379	3	14.78
3641	333	4	21.17
365	2229	3	10.29
525	1277	7	32.66
1438	296	5	14.9
124	1029	9	10.4
313	1350	17	98.64
103	5860	5	11.01
572	1059	3	7.81
257	2118	3	8.64
326	2151	3	9.16
531	62	3	10.01
2723	1010	4	27.7
119	1695	11	25.1
1145	238	4	6.63
152	7117	3	14.19
442	234	8	8.19
180	1091	11	26.78
155	1662	7	16.66
136	4870	4	15.53
528	256	6	7.08
1353	427	3	7.54
904	2953	3	19.21
57	292	35	10.99
146	2225	5	11.37
320	4614	3	15.29
1633	1363	4	23.7
5177	8152	3	46.35
9760	145	3	17.88
332	2860	3	12.64
1668	299	3	8.21
948	2900	3	18.94
465	271	7	8.89
753	471	7	22.97
131	2633	6	13.96
150	1239	6	8.54
1356	16	3	11.57
399	1451	5	17.09
409	3631	3	15.52
5258	665	5	45.04
1455	371	3	8.18
214	1406	4	8.83
999	255	5	9.56
1495	389	3	9.09
1421	244	5	11.35
392	693	6	14.13
632	223	7	10.07
161	2181	5	11.55
415	2206	3	11.69
610	368	5	8.54
1634	3644	5	49.09
5356	244	3	14.7
1068	1291	4	21.01
366	286	8	7.69
9864	114	3	14.89
115	253	45	30.35
493	1657	3	9.41
9026	132	3	17.08
534	1285	4	13.89
9369	119	3	15.88
247	10056	3	23.64
8311	119	3	15.88
58	4285	4	6.79
1306	4719	3	25.22
4028	141	3	7.52
135	10273	3	18.31
1191	182	7	11.85
1077	736	4	16.12
1560	121	12	25.91
7501	69	3	10.82
753	573	8	30.59
178	1147	6	8.71
993	779	3	10.87
161	4355	4	14.61
3741	197	3	12.9
319	9505	3	25.18
476	146	14	10.14
8241	104	3	9.2
710	8830	3	30.36
58	4337	4	6.79
1308	535	3	8.27
3853	161	3	10.95
437	102	114	7.65
9369	295	3	25.02
886	1561	3	12.81
1041	517	7	28.55
927	58	15	9.92
106	3404	6	6.72
1107	170	22	90.49
1393	191	8	24.54
4951	184	4	19.23
1191	69	26	84.45
743	2665	3	15.49
2275	135	6	14.9
784	5739	3	33.68
703	113	13	7.28
217	106	66	7.23
1028	1914	7	48.74
161	4421	3	9.79
113	773	33	71.86
308	1812	4	13.75
2242	3477	3	27.79
235	2418	3	8.28
2071	1914	4	30.23
5468	204	4	22.2
3412	1129	8	77.18
855	179	14	35.43
195	1326	8	25.38
114	1000	9	8.93
711	1317	3	10.54
400	1654	3	8.65
1643	4015	5	49.56
182	982	7	9.12
1123	242	4	6.87
475	1061	6	20.97
7367	7541	4	70.59
8977	113	3	13.56
109	7416	4	13.73
381	327	9	14.49
659	407	6	15.35
2006	455	11	74.38
216	1027	6	10.48
130	2773	4	6.99
275	3885	3	13.31
104	255	74	18.35
1866	601	3	12.92
264	702	5	7.09
288	2215	3	9.5
355	396	7	9.09
1900	276	3	12.25
3497	387	3	15.25
198	302	22	28.45
478	5252	3	20.1
109	1278	14	10.62
1464	232	4	7.89
284	681	6	9.18
152	2190	4	8.97
104	323	50	14
536	4278	4	26.75
208	2208	3	7.38
6049	257	3	20.55
416	246	18	51.06
904	216	6	11.16
166	2672	4	11.57
290	914	5	8.41
381	210	10	8.57
135	5712	4	19.52
126	116	87	8.53
976	204	5	9.21
338	130	20	9.56
70	3398	6	15.98
3278	517	3	16.54
5447	63	3	12.08
848	880	3	9.26
3999	1745	4	43.04
1686	898	4	20.15
8444	253	3	23.86
1844	114	7	9.86
1118	1615	5	29.8
484	3412	8	61.33
1408	166	6	13.06
1922	518	3	11.11
2645	172	3	6.8
381	151	13	7.16
160	5072	3	12.93
2897	135	3	6.77
253	1793	3	7.59
182	938	7	8.45
104	6253	3	9.2
656	1129	3	9.17
2514	104	9	18.15
536	2292	3	13.08
676	945	8	37.37
2254	193	4	11.62
164	6608	4	25.87
7197	114	3	10.57
5455	130	3	8.93
151	1914	6	12.99
142	4475	3	8.35
6135	498	5	46.51
1290	1113	3	13
4741	182	3	11.66
1132	1928	3	17.15
57	3087	6	10.19
1118	1539	3	13.62
1150	4060	4	33.74
829	1520	3	12.19
1015	635	3	7.57
181	2850	3	6.7
498	1043	7	26.13
1171	444	4	14.2
220	426	11	18.72
158	1634	5	8.91
3062	242	3	10.29
1723	284	3	7.51
314	1406	3	8.04
670	1255	4	14.91
224	1280	7	17.54
174	3959	3	8.9
680	5258	3	21.37
121	293	30	17.87
1191	6535	3	29.03
412	1049	3	7.61
4768	622	5	41.06
927	414	5	12.74
115	403	25	10.56
638	251	5	6.64
1411	332	3	6.77
2810	269	4	15.14
2005	1051	4	25.88
311	656	7	14.15
713	986	3	8.6
880	1650	4	22.32
204	2077	3	6.81
1685	373	3	9.16
8964	114	3	14.89
117	5120	3	7.97
1421	498	4	13.34
14	204	15	7.36
652	851	3	6.85
871	2313	3	16.3
70	9510	3	15.14
1380	4762	3	30.46
291	558	10	24.71
157	216	23	13.67
337	2495	10	62.86
180	8437	3	19.95
115	580	33	50.34
1197	216	5	9.17
131	4346	4	11.4
887	3056	6	46.54
622	961	4	12.71
177	159	27	8.33
875	779	3	8.45
171	799	7	7.28
296	1147	7	21.37
1273	195	4	7.21
2275	594	4	22.15
775	578	4	9.27
121	177	43	7.46
4790	198	3	12.34
1948	1597	3	18.17
1247	589	6	31.07
1723	184	6	16.07
488	752	19	99.29
1237	106	12	8.82
6225	498	4	32.18
2718	144	4	8
1695	151	6	11.04
144	1223	6	9.59
110	3368	5	8.73
3183	153	6	23.4
115	505	24	16.95
1041	214	10	26.61
474	1140	3	6.89
665	104	35	30.35
1273	135	6	9.3
2169	106	10	11.6
69	8600	3	15.15
239	773	38	215.07
63	1200	24	80.49
1233	125	8	10.07
1256	242	4	8.5
69	2133	7	12.36
988	462	4	10.63
5066	286	3	15.91
391	291	9	14.85
646	1335	3	10.33
2115	6746	3	33.27
208	2517	3	7.38
546	688	7	24.16
103	1301	26	31.32
248	255	21	33.47
790	280	5	7.35
3497	345	3	13.82
583	1364	3	9
180	2550	8	34.63
136	316	20	9.21
189	2041	4	9.69
4312	706	3	19.93
135	3934	3	8.21
2110	9026	3	38.1
5112	371	4	28.85
770	297	7	15.36
1043	3259	3	19.41
2034	239	13	71.83
264	1093	4	7.39
1355	323	4	11.58
248	323	9	8.11
219	695	7	8.11
5062	235	4	22.8
1922	267	7	28.78
126	439	19	14.33
618	1243	3	9.53
130	3028	4	8.22
826	109	30	31.9
151	1869	4	6.67
8220	163	3	19.13
4703	125	3	7.34
1113	130	12	21.07
659	157	16	32.34
5819	125	3	9.9
2312	871	4	24.35
136	148	43	10.72
1922	195	5	13.78
425	1779	3	9.95
1307	889	3	11.29
182	725	10	16.9
729	1227	4	15.69
152	4515	3	9.41
2034	159	6	14.47
111	4150	4	7.13
676	734	4	11.62
114	743	13	8.61
8702	314	3	25.26
1284	141	8	11.79
320	907	6	14.04
288	4438	4	23.23
862	866	7	35.08
1894	106	8	6.67
130	3096	4	8.22
332	170	29	50.8
136	214	28	9.61
7518	148	3	14.18
521	1230	3	9.3
2585	1221	4	27.48
5670	482	3	20.97
135	4053	4	13.72
1746	163	6	12.33
910	69	13	16.97
800	557	4	12.19
497	63	29	54.09
4898	936	3	23.21
352	1221	4	8.99
734	212	11	25.75
425	1847	3	9.41
1284	193	6	10.22
536	2445	5	27.59
594	493	6	17.56
1782	200	5	12.03
477	1566	3	9.22
851	190	8	12.73
520	5334	3	23.95
1456	1231	3	15.65
913	783	5	18.49
926	1603	3	13.38
469	136	12	7.46
183	2749	3	6.89
3592	118	4	6.69
5320	218	5	31.39
295	164	142	879.92
2166	1151	3	17.77
105	2457	8	7.03
1312	540	3	8.55
1041	5178	6	65.4
209	582	15	33.33
2482	1203	4	27.56
907	860	5	19.54
2631	150	4	8.51
379	3403	4	21.5
433	105	43	6.64
4108	129	3	6.66
8	1540	4	9.16
1140	101	37	11.09
188	6097	3	13.74
585	798	5	14.35
101	863	50	9.86
463	6613	4	36.68
144	4140	3	9.77
110	1944	7	7.96
913	843	4	15.49
1158	490	3	7.22
213	101	223	35.01
132	3364	4	9.19
356	4309	3	15.71
308	5348	3	17.88
1334	64	7	8.09
1302	2696	14	156.52
3564	9	4	17.88
271	854	7	15.65
1055	987	7	36.59
1749	712	3	12.81
1556	222	5	13
125	429	18	10.63
702	1396	3	10.36
1803	305	4	12.03
933	629	3	8.89
204	3166	5	25.02
6158	607	3	22.46
1009	427	16	90.5
9345	129	3	16.59
1283	2797	4	29.02
110	2079	10	19.65
251	265	19	29.56
101	999	36	8.44
117	254	67	122.33
1201	399	6	21
1451	425	3	7.52
671	281	5	7.32
147	2772	4	10.69
519	1107	16	104.54
1803	245	4	9.89
148	1479	5	8.18
9812	105	3	7.98
2631	326	3	10.27
8878	105	3	7.98
2974	427	12	101.87
