102	8458	23
1297	2515	0
203	9098	25
33307	9924	1
14778	9598	7
183	1664	5
137	9780	15
1052	4566	33
165	9915	13
1229	1070	7
101	174	4
118	8761	46
599	6751	36
102	3282	36
1211	8101	29
1771	7132	20
101	5897	18
5880	6099	11
112	9330	21
667	8750	6
101	7989	38
104	4581	19
298	3284	30
254	109	5
207	5234	1
101	5293	24
443	7766	15
273	1162	43
280	420	53
1272	7171	57
620	6721	37
625	9053	21
63	5286	31
102	5916	35
13638	1008	81
792	5636	18
4937	782	40
101	2825	23
3431	8945	7
1430	5870	13
103	2275	7
8327	6442	6
372	251	35
6391	9699	5
102	4203	26
31448	461	6
3917	1691	3
5171	9331	17
28080	3250	2
8374	4642	7
643	903	21
336	2494	33
102	1996	12
12191	3814	29
109	2044	5
29636	3980	17
103	5668	2
1970	3396	6
101	1090	26
10097	6639	16
808	7043	24
2104	2580	72
192	7099	14
1495	6094	32
152	1969	7
479	3515	11
1047	5386	1
132	8609	17
34373	2984	25
113	934	51
183	9260	22
1426	4669	9
30689	6917	11
527	4785	2
787	1977	7
101	6788	11
16402	9201	32
2672	9546	66
646	7085	5
112	8926	9
10878	5981	30
101	6030	16
69	1773	8
6700	593	10
3405	7103	23
101	9833	11
17613	5808	10
7176	2224	22
8975	4472	16
1934	631	0
357	3132	52
18244	390	11
308	279	42
111	6289	18
3243	5957	2
102	8296	9
28514	7777	8
291	6418	38
682	9828	1
2083	2444	9
139	4	33
117	6627	10
550	2459	18
2787	3967	145
2287	1790	1
2258	2472	21
143	7970	27
4644	6334	20
201	4929	6
611	4462	16
3698	4237	13
3123	1178	6
4466	9708	21
12569	110	13
2442	6753	1
919	1390	0
537	9607	38
36486	5358	44
596	195	3
160	1981	19
101	9967	29
1793	2379	2
101	4294	4
750	125	9
7658	3688	4
218	2027	5
726	1828	15
8	2787	7
106	615	3
786	6712	24
742	1037	20
496	6744	20
3241	5841	41
8456	4751	19
101	750	6
101	3585	1
1725	4031	15
17539	3778	60
101	1221	24
223	6657	15
12	6160	8
218	7241	24
30143	3078	1
268	7939	9
549	1140	22
111	7538	28
3800	9885	97
7556	2228	5
12009	7148	23
125	8703	14
101	8854	65
137	5276	6
115	1434	36
105	2147	10
644	6083	27
7519	988	22
9141	9341	39
739	6914	30
1279	896	1
4338	9659	73
161	4314	21
103	4089	48
145	5103	28
164	1704	33
33911	8754	12
170	4524	25
400	6418	12
4049	1085	59
889	3411	11
15235	9738	17
278	6524	24
106	2900	39
2089	4677	1
101	4140	8
292	747	16
123	2785	32
1268	4678	7
101	6888	17
108	5176	19
34288	3879	5
148	783	13
122	8914	1
169	4430	9
37294	8424	30
311	6456	14
136	8691	5
820	5911	15
11319	8840	35
10317	6518	8
103	7662	31
181	3458	20
2899	2730	14
4924	9898	24
2	166	13
114	8634	19
30989	6399	25
1410	8196	3
245	7454	15
119	3497	3
101	5988	28
110	7285	16
114	2541	52
9986	7206	3
2488	1304	7
495	6586	24
107	3712	24
138	6036	6
110	5809	9
101	3042	15
103	1282	4
438	9274	0
149	9160	20
15766	4494	7
109	2589	6
539	7088	60
123	2782	13
110	6651	16
250	2662	31
101	2119	17
10274	4607	1
33377	5482	4
138	627	18
106	3676	49
5595	7263	18
164	1239	14
299	3071	3
178	469	11
1992	7591	12
118	410	45
63	4547	7
1863	2955	18
166	9760	1
200	3	6
451	5377	5
10419	4080	26
16781	488	19
103	6034	41
214	5800	27
2949	4419	10
69	1278	61
15236	3142	31
58	9031	9
4473	2999	27
829	4904	28
1646	7082	17
764	9550	35
804	3474	18
8368	7019	36
1099	1502	57
105	8687	8
1771	1747	1
188	578	39
247	9267	21
1177	6763	3
405	8954	5
16	6506	36
4276	1264	9
13476	4688	3
121	2357	9
1101	6667	1
183	9863	12
104	2405	18
4708	7428	30
149	583	15
2594	8407	2
740	1483	28
210	2252	7
245	1484	45
16666	4332	11
1586	2781	16
17329	9206	1
10160	8030	9
6391	4583	16
12682	7919	15
104	1704	9
557	6581	35
140	6900	28
25135	2189	1
6394	4961	25
526	4609	49
138	2097	29
103	8289	1
101	6312	19
106	9147	47
513	7039	20
105	2714	51
8527	71	16
216	8265	14
137	7677	1
149	2528	28
964	392	57
101	8342	32
4462	3828	23
108	9205	2
292	7788	23
18515	8568	11
101	6825	102
1455	5746	13
313	5406	17
4370	8063	4
600	6090	25
6463	1007	11
6618	4716	4
120	8250	20
105	6828	17
6503	417	16
2468	9953	49
1417	8702	3
339	9834	12
1135	5357	20
188	5337	13
153	8780	48
330	646	35
216	7234	3
102	8454	22
854	5654	12
120	3866	10
122	3349	6
472	1546	12
129	8776	19
1560	2315	11
101	3596	20
105	4752	37
12	8802	56
1477	526	97
521	7809	9
5434	7532	30
102	2061	22
6285	2688	54
148	3805	34
101	4340	60
1272	5456	6
394	4514	3
5073	143	26
11508	9442	15
162	9554	15
