661	1102	3	29.2
101	3301	5	12.59
101	3353	7	23.34
114	1963	4	21.98
101	5219	3	8.29
118	229	9	26.55
101	3217	3	4.49
5046	171	3	28.86
101	9620	3	17.4
103	285	8	7.83
119	1086	7	41
1051	642	33	524.78
116	358	4	9.02
155	217	8	32.22
149	571	3	12.23
155	177	3	4.05
562	105	6	12.68
692	103	5	8.34
3250	101	3	4.49
3009	605	4	50.03
2896	1355	4	56.2
64	144	9	7.5
1628	105	6	25.3
272	153	3	8.32
533	105	4	5.42
207	133	7	20.62
278	883	3	22.23
2565	161	4	33.01
101	664	25	60.46
320	376	4	26.86
126	946	4	19.68
3073	101	4	7.58
110	223	22	78.25
104	4980	4	23.99
104	3011	3	11.97
132	428	6	26.26
63	325	4	8.25
129	1032	3	13.84
661	547	4	35.57
101	2454	4	5.72
407	729	6	56.07
218	127	4	7.37
101	2378	17	86.06
113	364	10	39.05
941	160	8	59.72
811	4456	3	40.43
412	104	6	8.29
179	8300	3	35.3
1388	384	3	27.3
158	213	5	15.68
63	576	3	7.52
123	176	5	5.96
2769	104	3	11.12
400	1525	3	28.16
176	64	88	508.41
180	618	4	22.92
113	218	10	25.77
492	182	3	14.49
165	111	10	11
101	916	8	7.19
1829	545	16	233.65
162	824	3	15.45
144	117	12	19.16
292	110	9	23.76
57	155	7	7.51
111	775	4	12.6
109	3771	3	16.55
1085	101	7	6.72
116	286	3	4.12
163	612	3	13.66
101	1679	7	11.97
127	1182	3	14.3
8795	63	3	28
164	374	6	30.3
3243	9821	3	61.35
336	112	5	11.09
336	159	14	90.86
1487	102	5	10.37
283	106	20	64.18
124	256	3	4.94
523	118	3	8.06
583	2778	3	34.37
3144	1545	5	75.27
226	128	3	4.52
136	141	5	4.74
101	1115	7	6.72
2664	9126	4	79.67
365	381	3	19.27
109	713	3	6.03
103	939	3	3.9
212	179	3	7.79
1255	914	8	102.77
922	119	5	24.15
212	122	6	13.65
885	105	7	22.81
157	342	3	10.25
147	278	3	7.88
819	501	7	72.53
101	4765	4	12.56
197	146	3	4.96
4287	5462	3	54.38
114	517	8	33.26
334	119	70	606.24
274	372	3	17.02
129	272	10	43.06
4585	104	5	31.47
859	109	4	11.48
221	592	3	17.62
1031	102	5	7.11
179	152	3	3.9
1333	114	19	158.2
206	118	4	5.02
162	255	3	8.37
844	640	3	27.47
102	3906	3	9.98
101	348	15	7.17
101	408	28	45.07
2349	102	3	6.1
5896	128	3	27.04
162	158	4	6.3
1481	341	3	27.11
110	792	15	85.8
2554	178	3	23.93
161	742	3	14.89
167	220	23	148.02
162	402	3	11.29
101	308	26	27.34
338	115	6	17.13
112	1108	7	35.81
122	188	4	4.72
1337	163	3	18.51
8179	101	3	13.02
4939	101	3	7.38
122	140	7	6.41
104	759	3	3.86
2480	237	3	27.47
217	437	3	15.9
370	298	3	17.78
247	113	7	16.11
101	3042	8	27.96
139	105	25	22.87
1014	103	4	7.66
191	183	3	7.32
725	1321	4	43.7
2027	6035	5	91.56
1309	1351	3	34.63
63	710	5	19.59
1892	6749	5	95.99
347	712	3	22.73
178	185	4	10.2
180	1184	5	37.7
101	3866	5	14.52
108	245	20	63.65
235	412	3	16.07
168	466	3	12.68
5925	680	3	42.58
330	124	6	20.94
140	138	10	19.79
1435	101	13	34.33
275	161	3	8.84
2150	216	3	25.62
380	101	22	24.38
119	10369	3	33.67
846	102	7	11.78
183	145	4	7.39
117	330	3	5.45
1121	396	3	26.11
117	271	3	4.2
198	14	8	34.58
520	106	36	211.24
867	104	3	4.45
124	2178	3	17.85
345	1396	4	38.21
9351	104	3	26.24
364	947	3	24.73
2131	166	3	21.82
64	4516	5	40.77
125	145	12	24.82
1579	1086	6	78.46
101	1418	7	9.81
112	466	5	14.03
450	170	3	12.53
1675	112	3	12.82
3595	170	3	25.79
171	105	35	78.85
2540	101	5	9.76
1341	216	6	54.07
545	237	3	17.82
954	113	3	10.22
463	107	5	9.73
150	157	9	23.96
255	122	5	12.33
101	208	38	27.11
587	110	18	97.88
1262	674	7	83.74
392	153	3	10.59
1097	105	6	20.26
143	63	7	4.45
105	454	4	4.57
170	436	12	83.39
114	123	12	8.51
3057	102	4	12.88
370	149	7	34.77
2049	109	5	25.55
107	3440	3	15.18
690	137	8	48.87
105	322	5	4.82
413	106	19	73.6
197	171	8	32.12
2670	1665	6	92.7
3128	8986	4	81.47
104	997	4	8.87
190	787	19	188.47
115	152	7	5.42
104	861	3	4.45
111	124	33	62.54
106	1197	4	11.48
705	136	4	18.81
208	1844	5	45.73
195	201	7	31.86
553	241	3	18.11
101	457	12	6.33
231	206	7	36.91
313	172	3	10.74
104	2330	4	15.81
